UF;Regiao;Valor pago;Porcentagem;Quantidade;Bolsa Familia
AC;Norte;0.5;0.6;273967;85526
AM;Norte;2.2;2.4;1266425;380704
AP;Norte;0.5;0.6;264089;71259
PA;Norte;5.0;5.5;2832607;906733
RO;Norte;0.8;0.9;470477;74941
RR;Norte;0.3;0.3;183772;42109
TO;Norte;0.7;0.8;449017;114519
ES;Sudeste;1.6;1.8;989100;174979
MG;Sudeste;8.0;8.8;4951471;996393
RJ;Sudeste;7.2;7.9;4301267;809845
SP;Sudeste;15.3;16.9;9414220;1422000
PR;Sul;3.8;4.2;2420200;356752
RS;Sul;3.3;3.6;2023658;340900
SC;Sul;1.9;2.1;1167252;112741
DF;Centro Oeste;1.0;1.1;562970;71841
GO;Centro Oeste;2.9;3.2;1723693;285743
MS;Centro Oeste;1.1;1.2;657689;120790
MT;Centro Oeste;1.4;1.5;867176;150987
AL;Nordeste;1.9;2.1;1065078;390961
BA;Nordeste;8.7;9.6;5058265;1765903
CE;Nordeste;5.3;5.8;3057063;1035952
MA;Nordeste;4.2;4.6;2380918;927094
PB;Nordeste;2.3;2.5;1341349;499694
PE;Nordeste;5.5;6.1;3133209;1122014
PI;Nordeste;2.1;2.3;1160116;437292
RN;Nordeste;1.9;2.1;1101932;348130
SE;Nordeste;1.4;1.5;757916;278825
